#b	ene_v	ene_r	mag_v	mag_r	chi_v	chi_r	cap_v	cap_r
0.350000	-0.879718	0.000229	0.090107	0.000364	5.589313	0.038564	3.882061	0.021257
0.353700	-0.894281	0.000247	0.093892	0.000379	6.042385	0.068349	3.959947	0.030738
0.357300	-0.908550	0.000145	0.096968	0.000376	6.448373	0.069399	4.067832	0.033525
0.361000	-0.923989	0.000252	0.100558	0.000322	6.858402	0.041393	4.136208	0.024282
0.364700	-0.938970	0.000237	0.104897	0.000725	7.507155	0.088332	4.229852	0.031372
0.368300	-0.954469	0.000285	0.109472	0.000349	8.164113	0.079322	4.248168	0.034217
0.372000	-0.970379	0.000313	0.115048	0.000351	8.881528	0.056272	4.370010	0.035340
0.375700	-0.986801	0.000393	0.121231	0.000368	9.787830	0.059207	4.473350	0.048473
0.379300	-1.003510	0.000258	0.127344	0.000244	10.811673	0.080845	4.591843	0.024685
0.383000	-1.020340	0.000254	0.134178	0.000424	11.858590	0.082585	4.706686	0.041954
0.386700	-1.038387	0.000224	0.142372	0.000426	13.300722	0.073164	4.847955	0.022927
0.390300	-1.056497	0.000306	0.152270	0.000424	14.978527	0.134074	4.962895	0.037291
0.394000	-1.074777	0.000197	0.162237	0.000530	17.018062	0.099895	5.111628	0.042705
0.397700	-1.094683	0.000337	0.174277	0.000430	19.251624	0.164896	5.283756	0.041745
0.401300	-1.114249	0.000500	0.188620	0.000684	22.023741	0.127607	5.529280	0.048463
0.405000	-1.134749	0.000307	0.205510	0.001013	25.428414	0.170269	5.842695	0.034323
0.408700	-1.156933	0.000322	0.227119	0.000962	29.595348	0.146832	6.131326	0.034426
0.412300	-1.179784	0.000312	0.251959	0.000680	34.424353	0.149541	6.507794	0.039919
0.413000	-1.185076	0.000197	0.258039	0.000810	35.734885	0.248255	6.630876	0.039873
0.416000	-1.205128	0.000313	0.282520	0.000749	40.279655	0.131186	7.015035	0.031873
0.419000	-1.227509	0.000247	0.315961	0.000698	45.472889	0.180610	7.727117	0.045317
0.419700	-1.232860	0.000398	0.322726	0.001019	46.540566	0.223482	7.873473	0.038179
0.422000	-1.251050	0.000357	0.350678	0.001047	50.200899	0.289392	8.251846	0.044123
0.423300	-1.261932	0.000420	0.367340	0.000932	51.840929	0.253121	8.512263	0.059506
0.425000	-1.276554	0.000374	0.391151	0.001035	54.014949	0.233204	8.873992	0.054968
0.427000	-1.295353	0.000373	0.421829	0.001074	55.967742	0.320834	9.298855	0.069248
0.428000	-1.305356	0.000411	0.439838	0.000963	56.555893	0.215001	9.468798	0.049485
0.430700	-1.330504	0.000299	0.482760	0.000648	56.433606	0.402234	9.999195	0.061885
0.431000	-1.333451	0.000685	0.487166	0.000827	55.958942	0.264899	10.036216	0.060212
0.434000	-1.363676	0.000459	0.538185	0.001083	52.455308	0.339930	10.105949	0.041084
0.434300	-1.367608	0.000301	0.544768	0.000747	51.985233	0.265687	10.259087	0.076776
0.437000	-1.395856	0.000351	0.591216	0.000925	46.341030	0.423034	10.322219	0.051898
0.438000	-1.406141	0.000390	0.607952	0.001182	43.398989	0.402677	10.094686	0.034954
0.440000	-1.424780	0.000574	0.635759	0.000814	39.278307	0.362418	9.878952	0.036316
0.441700	-1.441511	0.000448	0.661120	0.000633	34.169989	0.292886	9.634923	0.055056
0.443000	-1.454172	0.000372	0.679817	0.001041	30.168984	0.323147	9.254695	0.055195
0.445300	-1.475031	0.000341	0.706187	0.000850	25.330075	0.262623	8.806683	0.044531
0.449000	-1.505549	0.000462	0.742487	0.000615	17.497004	0.325632	7.930386	0.063428
0.452700	-1.532799	0.000332	0.771414	0.000434	12.386738	0.260118	7.183092	0.061976
0.456300	-1.557847	0.000333	0.795577	0.000442	8.317951	0.188895	6.501599	0.042556
0.460000	-1.581352	0.000234	0.814988	0.000197	5.800992	0.141461	5.930440	0.031803
