#b	ene_v	ene_r	mag_v	mag_r	chi_v	chi_r	cap_v	cap_r
0.354000	-0.914051	0.000921	0.332904	0.000925	4.639603	0.031814	4.614711	0.037677
0.357000	-0.931236	0.001249	0.344784	0.001277	4.874045	0.019636	4.847346	0.024268
0.361000	-0.949781	0.001172	0.356863	0.000674	5.105948	0.026936	5.010465	0.023534
0.365000	-0.966706	0.001015	0.369878	0.001329	5.271792	0.026907	5.224879	0.028541
0.368000	-0.986280	0.001236	0.384143	0.001249	5.452173	0.020623	5.356177	0.027502
0.372000	-1.006792	0.001410	0.399853	0.001008	5.683071	0.023038	5.575017	0.035591
0.376000	-1.027740	0.001077	0.415707	0.001223	5.933727	0.022873	5.873996	0.026663
0.379000	-1.051789	0.001540	0.434762	0.001389	6.051435	0.022054	6.041088	0.016340
0.383000	-1.070603	0.000944	0.448437	0.001303	6.219073	0.018329	6.272790	0.050759
0.387000	-1.092736	0.000760	0.466134	0.000772	6.328054	0.028980	6.449436	0.039700
0.390000	-1.117052	0.001497	0.482921	0.001330	6.476566	0.021464	6.622498	0.031387
0.394000	-1.144076	0.001082	0.505892	0.000830	6.491816	0.034392	6.782915	0.039085
0.398000	-1.168380	0.000913	0.524199	0.000626	6.579883	0.028427	6.997384	0.026204
0.401000	-1.194491	0.000907	0.545381	0.001580	6.504821	0.029653	7.077797	0.041030
0.405000	-1.222728	0.001057	0.567549	0.000881	6.465177	0.037871	7.277698	0.030501
0.409000	-1.246436	0.001208	0.586864	0.001327	6.375980	0.053391	7.319947	0.030286
0.412000	-1.271935	0.000770	0.605624	0.001694	6.298798	0.033741	7.422790	0.039993
0.414000	-1.285243	0.001839	0.616784	0.001686	6.167288	0.031774	7.337895	0.042659
0.416000	-1.301652	0.001123	0.628950	0.001333	6.085156	0.043703	7.471414	0.043812
0.417000	-1.310326	0.001293	0.636394	0.000884	5.943107	0.033364	7.362820	0.034277
0.420000	-1.327804	0.001239	0.650405	0.001282	5.781271	0.031112	7.334119	0.027210
0.421000	-1.338010	0.001545	0.657416	0.001240	5.759720	0.037069	7.391711	0.047047
0.423000	-1.354140	0.001013	0.669249	0.001163	5.546710	0.042167	7.265544	0.037424
0.425000	-1.364513	0.001311	0.676365	0.000863	5.500764	0.032201	7.264264	0.029371
0.427000	-1.382380	0.001318	0.689682	0.001319	5.305446	0.044966	7.203231	0.039519
0.428000	-1.390236	0.001215	0.695133	0.000986	5.215372	0.040281	7.107831	0.038761
0.431000	-1.407223	0.000823	0.707965	0.000751	4.978222	0.036846	7.078921	0.038181
0.432000	-1.417043	0.001787	0.714673	0.001066	4.880032	0.024272	6.974301	0.028686
0.434000	-1.434844	0.000986	0.727113	0.000629	4.595026	0.043774	6.810377	0.048277
0.435000	-1.440135	0.000818	0.731382	0.000697	4.554341	0.031166	6.827127	0.025321
0.438000	-1.458737	0.001002	0.744585	0.000950	4.306215	0.036821	6.634102	0.042256
0.439000	-1.467492	0.001405	0.750046	0.000874	4.213346	0.025376	6.578075	0.037664
0.442000	-1.482417	0.001317	0.759988	0.001080	4.025102	0.041289	6.410541	0.053168
0.443000	-1.489610	0.001644	0.765486	0.001167	3.880497	0.039980	6.335124	0.033148
0.445000	-1.505000	0.001431	0.775806	0.000879	3.624411	0.053645	6.153041	0.033221
0.446000	-1.510554	0.001479	0.779744	0.000846	3.550649	0.020735	6.127891	0.027526
0.449000	-1.526882	0.001151	0.790379	0.000754	3.320549	0.039189	5.972501	0.034689
0.450000	-1.531055	0.001449	0.792147	0.001139	3.314824	0.037978	5.935835	0.042657
0.453000	-1.547039	0.001263	0.801796	0.000755	3.130885	0.030300	5.752748	0.036970
0.456000	-1.570274	0.001451	0.818065	0.001065	2.684380	0.032469	5.413680	0.039916
0.460000	-1.589689	0.000605	0.829783	0.000516	2.382943	0.024064	5.088739	0.029498
