#b	ene_v	ene_r	mag_v	mag_r	chi_v	chi_r	cap_v	cap_r
0.354000	-0.894078	0.000179	0.072447	0.000223	6.069444	0.039223	4.006271	0.030293
0.357000	-0.908763	0.000201	0.075432	0.000225	6.536801	0.061360	4.020177	0.021270
0.361000	-0.924001	0.000198	0.078290	0.000232	6.986253	0.058188	4.116042	0.024165
0.365000	-0.939457	0.000235	0.081994	0.000281	7.637151	0.045291	4.209418	0.025962
0.368000	-0.954521	0.000200	0.085349	0.000256	8.257768	0.066398	4.327763	0.031351
0.372000	-0.970630	0.000211	0.089473	0.000254	9.031606	0.068804	4.380357	0.019918
0.376000	-0.986796	0.000294	0.094147	0.000428	10.043566	0.080333	4.460817	0.011691
0.379000	-1.003539	0.000207	0.098426	0.000407	10.917231	0.093904	4.636091	0.026278
0.383000	-1.020303	0.000322	0.103641	0.000363	12.076226	0.068748	4.697359	0.031528
0.387000	-1.038137	0.000337	0.110133	0.000350	13.600382	0.109281	4.847044	0.021208
0.390000	-1.056030	0.000248	0.117156	0.000348	15.371698	0.082788	4.924843	0.034059
0.394000	-1.074650	0.000182	0.124993	0.000516	17.281436	0.129497	5.081289	0.039086
0.398000	-1.093822	0.000321	0.135467	0.000527	19.937474	0.109417	5.274547	0.036712
0.401000	-1.113936	0.000223	0.146589	0.000461	22.927029	0.172453	5.439068	0.025741
0.405000	-1.134260	0.000299	0.160277	0.000750	26.890538	0.159139	5.672092	0.039249
0.409000	-1.155324	0.000234	0.175923	0.000486	32.094444	0.217309	5.945289	0.049382
0.412000	-1.177735	0.000314	0.195043	0.000599	38.365097	0.153227	6.280079	0.034590
0.414000	-1.185458	0.000177	0.204508	0.000411	41.102492	0.188746	6.467989	0.036341
0.416000	-1.201540	0.000177	0.220810	0.000541	45.970033	0.407799	6.696009	0.041106
0.417000	-1.210188	0.000221	0.232885	0.000728	50.009724	0.338950	6.822676	0.031777
0.420000	-1.226911	0.000225	0.254975	0.000751	56.612571	0.299828	7.216796	0.044520
0.421000	-1.236525	0.000271	0.268840	0.000901	60.452580	0.309145	7.589183	0.046281
0.423000	-1.254963	0.000283	0.296900	0.000898	68.386244	0.347259	8.062272	0.032924
0.425000	-1.264975	0.000318	0.315614	0.000713	73.117084	0.431126	8.391966	0.071204
0.427000	-1.286836	0.000299	0.355930	0.001216	79.938433	0.417770	9.024178	0.060777
0.428000	-1.297693	0.000332	0.374287	0.001443	82.913551	0.355321	9.427061	0.034109
0.431000	-1.320523	0.000214	0.419248	0.001272	87.729933	0.408023	10.148022	0.066286
0.432000	-1.332969	0.000402	0.444494	0.001536	87.060900	0.425858	10.295273	0.052604
0.434000	-1.359470	0.000308	0.497659	0.001214	84.158848	0.835464	10.702834	0.059268
0.435000	-1.371487	0.000359	0.522426	0.001565	81.219235	0.618513	10.824048	0.058337
0.438000	-1.399550	0.000226	0.576113	0.001250	71.148180	0.828726	10.906883	0.069951
0.439000	-1.411254	0.000442	0.596860	0.001183	66.152367	0.807591	10.685394	0.075962
0.442000	-1.437850	0.000306	0.644232	0.000885	52.097643	0.545164	10.189141	0.058745
0.443000	-1.448704	0.000436	0.661556	0.000803	46.348691	0.662735	9.937163	0.048792
0.445000	-1.473537	0.000248	0.698353	0.000592	34.954866	0.511232	9.101033	0.047477
0.446000	-1.482637	0.000277	0.711461	0.000837	30.469253	0.561414	8.979389	0.080234
0.449000	-1.505481	0.000431	0.741619	0.000537	20.506220	0.589190	7.989934	0.048391
0.450000	-1.512791	0.000243	0.749640	0.000329	18.317829	0.426597	7.880508	0.034955
0.453000	-1.533213	0.000269	0.771468	0.000337	13.421364	0.268774	7.214430	0.065685
0.456000	-1.557936	0.000265	0.794804	0.000334	9.139244	0.348052	6.644507	0.057879
0.460000	-1.581263	0.000236	0.814605	0.000242	6.097633	0.165883	5.997387	0.042372
