#b	ene_v	ene_r	mag_v	mag_r	chi_v	chi_r	cap_v	cap_r
0.350000	-0.879470	0.000404	0.158831	0.000390	5.400740	0.023515	3.928576	0.013964
0.354000	-0.893658	0.000294	0.164488	0.000531	5.739023	0.038623	4.001545	0.036148
0.357000	-0.909507	0.000412	0.171504	0.000489	6.213435	0.040809	4.111530	0.022999
0.361000	-0.923528	0.000436	0.178279	0.000548	6.706104	0.045556	4.189900	0.024882
0.365000	-0.940570	0.000329	0.186446	0.000687	7.282395	0.051320	4.282782	0.020012
0.368000	-0.955129	0.000427	0.193268	0.000709	7.762310	0.041626	4.382941	0.023721
0.372000	-0.971614	0.000334	0.204102	0.000636	8.477185	0.048630	4.536962	0.029461
0.376000	-0.988360	0.000449	0.214994	0.000819	9.248810	0.081173	4.614588	0.034309
0.379000	-1.006277	0.000394	0.225378	0.000593	9.972386	0.057221	4.803659	0.032952
0.383000	-1.023908	0.000771	0.238997	0.000912	10.871632	0.070858	4.948458	0.036165
0.387000	-1.042620	0.000441	0.252004	0.000817	11.869729	0.073650	5.193397	0.025502
0.390000	-1.062875	0.000613	0.268871	0.000855	13.064642	0.056775	5.480007	0.030093
0.394000	-1.082503	0.000601	0.287365	0.000644	14.158265	0.064015	5.703220	0.025101
0.398000	-1.103497	0.000970	0.305671	0.000833	15.367758	0.075332	5.974060	0.045647
0.401000	-1.126667	0.000369	0.328698	0.000565	16.579924	0.082032	6.359454	0.029776
0.405000	-1.149207	0.000865	0.352219	0.000860	18.042461	0.080862	6.778037	0.048080
0.409000	-1.174778	0.000726	0.381703	0.001202	19.233384	0.062113	7.207333	0.036789
0.412000	-1.202439	0.000498	0.413893	0.000834	20.331238	0.080268	7.548423	0.035252
0.415000	-1.223503	0.000502	0.437942	0.000827	20.993045	0.097576	7.873308	0.039617
0.416000	-1.230684	0.000479	0.446813	0.001160	20.984279	0.108730	7.936879	0.054117
0.419000	-1.255696	0.000580	0.477720	0.000930	21.200581	0.072624	8.297003	0.055298
0.420000	-1.261150	0.000814	0.482991	0.001010	21.387369	0.097386	8.456736	0.044452
0.423000	-1.291329	0.000768	0.518677	0.001176	21.255983	0.106785	8.745345	0.054484
0.427000	-1.325649	0.000531	0.559295	0.001026	20.591950	0.114410	8.869202	0.044781
0.431000	-1.361953	0.000475	0.602349	0.000940	19.101234	0.098316	9.085875	0.050549
0.434000	-1.389548	0.000656	0.634209	0.000762	17.379864	0.156734	8.884762	0.042570
0.435000	-1.397570	0.000564	0.642714	0.000735	17.010899	0.120033	8.868994	0.040906
0.438000	-1.422138	0.000758	0.670186	0.001210	15.378250	0.167048	8.591068	0.066002
0.439000	-1.430460	0.000859	0.678173	0.000861	14.842872	0.179903	8.453337	0.069600
0.442000	-1.453176	0.000720	0.701839	0.001082	13.308637	0.094898	8.190728	0.036368
0.443000	-1.464113	0.000513	0.713750	0.000431	12.347106	0.100410	8.026928	0.043702
0.445000	-1.483195	0.000684	0.732324	0.000840	10.953365	0.117402	7.704736	0.066081
0.447000	-1.495787	0.000775	0.743751	0.001210	10.109627	0.182491	7.422199	0.060563
0.449000	-1.510488	0.000809	0.757215	0.000873	9.048318	0.120870	7.201714	0.030654
0.451000	-1.523646	0.000487	0.768345	0.000622	8.363790	0.097631	7.084581	0.053201
0.453000	-1.535279	0.000516	0.779327	0.000690	7.440740	0.050871	6.751492	0.042000
0.455000	-1.550934	0.000417	0.791662	0.000465	6.650489	0.044866	6.491543	0.046713
0.456000	-1.559877	0.000464	0.799720	0.000490	5.916094	0.062931	6.253657	0.030179
0.460000	-1.581133	0.000614	0.814967	0.000488	5.029690	0.090797	5.860284	0.039346
