#b	ene_v	ene_r	mag_v	mag_r	chi_v	chi_r	cap_v	cap_r
0.354000	-0.894370	0.000088	0.054262	0.000167	5.939471	0.032792	3.953956	0.025022
0.357000	-0.908760	0.000190	0.056437	0.000122	6.501060	0.046130	4.070066	0.022325
0.361000	-0.923694	0.000240	0.058982	0.000220	7.067170	0.055947	4.073310	0.026266
0.365000	-0.938984	0.000095	0.060994	0.000269	7.633021	0.056813	4.208569	0.031597
0.368000	-0.955171	0.000106	0.064348	0.000307	8.268027	0.056701	4.318148	0.022802
0.372000	-0.970631	0.000167	0.066925	0.000188	9.061784	0.075229	4.341345	0.030399
0.376000	-0.986779	0.000134	0.069744	0.000187	10.001340	0.093173	4.497133	0.032608
0.379000	-1.003731	0.000202	0.073559	0.000210	10.984412	0.053644	4.552506	0.020954
0.383000	-1.020433	0.000121	0.077694	0.000274	12.301724	0.082822	4.706771	0.027089
0.387000	-1.037983	0.000152	0.082479	0.000185	13.736387	0.127338	4.815366	0.021983
0.390000	-1.055788	0.000193	0.087712	0.000395	15.605850	0.083163	4.957420	0.027986
0.394000	-1.074563	0.000136	0.094425	0.000262	17.858070	0.134978	5.183469	0.036566
0.398000	-1.093694	0.000180	0.100301	0.000316	20.141441	0.159452	5.253640	0.023207
0.401000	-1.112908	0.000179	0.108575	0.000311	23.525132	0.162768	5.455593	0.037226
0.405000	-1.133839	0.000122	0.119243	0.000323	27.891720	0.163989	5.682544	0.026961
0.409000	-1.154895	0.000156	0.131489	0.000401	33.298295	0.246782	5.882819	0.042589
0.412000	-1.176943	0.000164	0.145640	0.000487	40.176944	0.311837	6.132772	0.033674
0.414000	-1.184736	0.000166	0.152088	0.000524	43.511440	0.218990	6.253995	0.045986
0.416000	-1.199719	0.000149	0.165210	0.000371	49.912936	0.295558	6.438181	0.041540
0.417000	-1.208582	0.000221	0.174016	0.000476	55.118653	0.366069	6.631951	0.061879
0.420000	-1.224474	0.000261	0.190194	0.000752	64.026222	0.385247	6.981839	0.034472
0.421000	-1.232952	0.000165	0.201593	0.001101	69.961412	0.559838	7.027609	0.027375
0.423000	-1.251172	0.000259	0.226970	0.000909	83.084452	0.548060	7.577274	0.046761
0.425000	-1.260175	0.000208	0.241791	0.000979	90.495046	0.503996	7.751455	0.064586
0.427000	-1.279937	0.000261	0.276365	0.001186	106.936632	0.591108	8.522336	0.053375
0.428000	-1.290970	0.000303	0.296225	0.001267	116.651449	0.739327	8.853041	0.067183
0.431000	-1.313776	0.000353	0.344547	0.002070	134.078964	0.466255	9.803954	0.072218
0.432000	-1.325355	0.000355	0.371978	0.001443	139.684364	0.747591	10.202569	0.049515
0.434000	-1.352412	0.000274	0.437964	0.000805	144.306148	0.781923	11.116829	0.068543
0.435000	-1.364763	0.000295	0.467820	0.001244	141.560249	0.599403	11.428510	0.047766
0.438000	-1.394152	0.000419	0.537215	0.001269	125.676186	1.367397	11.574616	0.052859
0.439000	-1.406384	0.000392	0.564387	0.001706	114.590452	1.654121	11.564078	0.066160
0.442000	-1.435112	0.000345	0.627582	0.001252	80.684438	1.374778	10.832970	0.046047
0.443000	-1.446408	0.000326	0.648080	0.001086	71.830618	1.723555	10.507502	0.068457
0.445000	-1.472418	0.000176	0.691948	0.000856	49.330374	1.382662	9.586870	0.049473
0.446000	-1.482527	0.000263	0.709001	0.000662	38.231356	1.153216	9.058460	0.079666
0.449000	-1.505099	0.000291	0.739417	0.000673	25.050773	0.639393	8.298948	0.074337
0.450000	-1.512752	0.000191	0.749373	0.000514	19.773748	0.603651	7.929527	0.063862
0.453000	-1.533577	0.000247	0.771774	0.000291	14.270220	0.508809	7.256036	0.047243
0.456000	-1.558209	0.000104	0.795044	0.000296	8.996093	0.251047	6.532194	0.044794
0.460000	-1.580977	0.000165	0.814518	0.000243	5.972402	0.108511	5.953550	0.030954
