#b	ene_v	ene_r	mag_v	mag_r	chi_v	chi_r	cap_v	cap_r
0.354000	-0.894092	0.000178	0.065210	0.000308	6.093606	0.057957	3.990458	0.024702
0.357000	-0.908904	0.000160	0.067829	0.000155	6.530715	0.051434	4.004144	0.021926
0.361000	-0.923648	0.000119	0.070756	0.000309	7.072784	0.071039	4.094859	0.024684
0.365000	-0.939122	0.000142	0.073453	0.000241	7.616462	0.058515	4.221140	0.021506
0.368000	-0.954551	0.000248	0.076692	0.000365	8.269422	0.041422	4.275310	0.019214
0.372000	-0.970526	0.000137	0.080550	0.000261	8.971953	0.058407	4.400701	0.033177
0.376000	-0.986745	0.000176	0.084385	0.000313	9.903773	0.069208	4.499552	0.027011
0.379000	-1.003661	0.000212	0.089045	0.000338	11.160633	0.074480	4.606575	0.024302
0.383000	-1.020627	0.000232	0.093022	0.000403	12.051205	0.085040	4.702222	0.022986
0.387000	-1.038041	0.000143	0.099115	0.000321	13.646075	0.100015	4.850886	0.022376
0.390000	-1.056481	0.000179	0.105484	0.000320	15.289314	0.115739	5.002442	0.030348
0.394000	-1.074778	0.000201	0.113162	0.000606	17.773323	0.157280	5.146969	0.028642
0.398000	-1.093675	0.000207	0.120531	0.000296	19.937183	0.156162	5.264281	0.027492
0.401000	-1.113361	0.000213	0.131768	0.000527	23.393162	0.203029	5.460719	0.034747
0.405000	-1.133745	0.000216	0.143274	0.000303	27.224210	0.099964	5.625550	0.027488
0.409000	-1.155316	0.000240	0.158179	0.000598	32.914374	0.261297	5.956734	0.032536
0.412000	-1.176887	0.000178	0.175377	0.000458	39.289937	0.184319	6.155867	0.038030
0.414000	-1.185889	0.000191	0.185535	0.000741	42.515035	0.212173	6.284122	0.025683
0.416000	-1.200799	0.000247	0.198865	0.000955	47.965639	0.271919	6.582876	0.050963
0.417000	-1.209161	0.000251	0.208284	0.000609	51.673549	0.339668	6.777669	0.034944
0.420000	-1.225404	0.000146	0.229366	0.000811	58.877596	0.372166	7.065731	0.039474
0.421000	-1.234665	0.000181	0.242325	0.000810	64.081329	0.384226	7.296010	0.043163
0.423000	-1.253315	0.000219	0.270754	0.001074	74.519583	0.355278	7.861628	0.078878
0.425000	-1.262657	0.000334	0.286441	0.001199	78.752937	0.428854	8.137950	0.053488
0.427000	-1.284144	0.000289	0.324314	0.000881	91.190866	0.475869	8.888334	0.043914
0.428000	-1.294589	0.000311	0.344762	0.001254	94.399925	0.363805	9.099903	0.054839
0.431000	-1.318604	0.000432	0.393367	0.000912	103.338914	0.477655	10.017605	0.062541
0.432000	-1.329628	0.000281	0.417458	0.001357	104.192765	0.620008	10.297734	0.058876
0.434000	-1.356257	0.000243	0.473213	0.001470	104.951979	0.772982	10.885270	0.043621
0.435000	-1.368852	0.000281	0.503515	0.001525	98.791558	0.560035	11.041202	0.066795
0.438000	-1.398199	0.000397	0.563608	0.001586	86.923050	1.064124	11.049537	0.068100
0.439000	-1.408738	0.000371	0.584356	0.000944	80.610787	0.677001	10.901374	0.061783
0.442000	-1.437047	0.000313	0.636545	0.000965	62.781333	0.657071	10.366357	0.069406
0.443000	-1.448104	0.000326	0.657104	0.000894	54.173169	0.844790	10.096646	0.063189
0.445000	-1.472955	0.000405	0.696257	0.001068	38.786776	0.777121	9.320052	0.104657
0.446000	-1.482228	0.000317	0.710602	0.000660	32.519975	0.922980	8.942296	0.063037
0.449000	-1.505101	0.000377	0.739814	0.000514	23.314439	0.508520	8.248526	0.074019
0.450000	-1.513065	0.000336	0.749227	0.000577	19.907019	0.574814	7.842785	0.052250
0.453000	-1.532751	0.000342	0.770483	0.000479	14.766893	0.485775	7.301725	0.059436
0.456000	-1.558666	0.000248	0.795347	0.000399	9.175519	0.256291	6.496687	0.045152
0.460000	-1.581179	0.000225	0.814788	0.000207	5.862499	0.113051	5.929205	0.038045
