#b	ene_v	ene_r	mag_v	mag_r	chi_v	chi_r	cap_v	cap_r
0.350000	-0.880338	0.000256	0.126678	0.000536	5.497116	0.035135	3.892961	0.018414
0.353700	-0.893997	0.000472	0.131119	0.000385	5.878614	0.032114	3.961405	0.021253
0.357300	-0.909148	0.000351	0.136617	0.000346	6.395552	0.054529	4.047736	0.022452
0.361000	-0.923626	0.000604	0.141638	0.000303	6.821756	0.066127	4.103885	0.030507
0.364700	-0.940229	0.000524	0.148587	0.000313	7.400037	0.041907	4.212197	0.033411
0.368300	-0.954403	0.000370	0.154116	0.000394	7.979341	0.042175	4.255234	0.028034
0.372000	-0.970614	0.000309	0.162160	0.000589	8.687178	0.057341	4.420995	0.033396
0.375700	-0.987551	0.000440	0.171394	0.000822	9.590412	0.081787	4.520654	0.028262
0.379300	-1.004509	0.000453	0.179620	0.000628	10.595093	0.034362	4.687433	0.037109
0.383000	-1.020838	0.000305	0.187934	0.000296	11.436100	0.066648	4.745044	0.021393
0.386700	-1.039750	0.000341	0.201174	0.000705	12.706426	0.100924	4.974180	0.037410
0.390300	-1.057946	0.000469	0.214087	0.000834	14.047009	0.115200	5.135376	0.043285
0.394000	-1.075946	0.000373	0.227218	0.000768	15.514256	0.119314	5.291029	0.029085
0.397700	-1.096962	0.000458	0.245950	0.000667	17.485576	0.113075	5.627925	0.025443
0.401300	-1.118694	0.000523	0.266194	0.001007	19.427036	0.070954	5.922617	0.027466
0.405000	-1.140177	0.000388	0.286444	0.000822	21.709337	0.108765	6.227499	0.038953
0.408700	-1.165029	0.000527	0.316220	0.000659	24.144904	0.108589	6.728218	0.044563
0.412300	-1.190483	0.000440	0.345773	0.000598	26.563558	0.161251	7.189185	0.036083
0.413000	-1.194936	0.000389	0.350917	0.001148	27.004534	0.138585	7.258174	0.044483
0.416000	-1.218359	0.000580	0.380734	0.000658	29.102606	0.169039	7.906105	0.054987
0.419000	-1.242038	0.000916	0.413407	0.001036	30.494162	0.097903	8.209121	0.035947
0.419700	-1.246322	0.000483	0.418343	0.000724	30.637426	0.197148	8.283099	0.082615
0.422000	-1.267125	0.000456	0.447517	0.000497	31.450301	0.215080	8.731911	0.052469
0.423300	-1.278363	0.000561	0.462183	0.000945	31.621536	0.147167	8.822887	0.038701
0.425000	-1.293418	0.000461	0.483251	0.000623	31.739391	0.195633	9.088351	0.065956
0.427000	-1.311154	0.000403	0.507615	0.001093	31.391452	0.103501	9.271996	0.065099
0.428000	-1.320952	0.000445	0.521511	0.001076	30.788367	0.175044	9.330331	0.028111
0.430700	-1.346094	0.000398	0.555560	0.000874	29.658449	0.177884	9.524335	0.060681
0.431000	-1.348726	0.000558	0.559368	0.001029	29.245399	0.211335	9.435683	0.088582
0.434000	-1.376524	0.000687	0.595845	0.001053	27.370945	0.187940	9.404364	0.056022
0.434300	-1.380703	0.000498	0.600920	0.000859	27.104384	0.212773	9.471498	0.047933
0.437000	-1.405070	0.000551	0.632035	0.000795	24.684048	0.139541	9.318983	0.045204
0.438000	-1.414515	0.000485	0.645302	0.000901	23.304989	0.219392	9.144382	0.040802
0.440000	-1.433469	0.000565	0.667913	0.000864	21.287896	0.198033	8.911767	0.034114
0.441700	-1.447660	0.000507	0.685712	0.000711	19.285394	0.151971	8.846761	0.056131
0.443000	-1.459756	0.000670	0.699245	0.000944	17.802857	0.212291	8.559211	0.060222
0.445300	-1.478592	0.000563	0.719023	0.000672	15.799275	0.204150	8.192083	0.087627
0.449000	-1.507245	0.000677	0.749019	0.000355	12.391935	0.109374	7.577790	0.038640
0.452700	-1.534070	0.000451	0.775142	0.000703	9.294345	0.122821	6.924033	0.044182
0.456300	-1.559280	0.000510	0.797433	0.000399	7.018971	0.109737	6.360390	0.053903
0.460000	-1.580549	0.000370	0.814505	0.000402	5.485565	0.123114	5.858401	0.039291
