#b	ene_v	ene_r	mag_v	mag_r	chi_v	chi_r	cap_v	cap_r
0.350000	-0.880073	0.000279	0.078652	0.000190	5.557391	0.032573	3.910608	0.030603
0.354000	-0.894108	0.000273	0.081466	0.000351	5.970063	0.054143	3.997967	0.024497
0.357000	-0.909091	0.000257	0.084983	0.000220	6.510349	0.040691	3.996048	0.017254
0.361000	-0.923822	0.000192	0.088231	0.000225	7.039892	0.035319	4.181656	0.019965
0.365000	-0.938781	0.000208	0.092230	0.000406	7.669487	0.037748	4.206591	0.042507
0.368000	-0.954555	0.000361	0.096164	0.000355	8.210554	0.051399	4.276096	0.028143
0.372000	-0.970668	0.000275	0.100156	0.000260	8.889473	0.069942	4.414568	0.024343
0.376000	-0.986862	0.000313	0.105336	0.000298	9.921346	0.090719	4.476944	0.016645
0.379000	-1.003255	0.000348	0.110274	0.000217	10.734422	0.074838	4.630039	0.022492
0.383000	-1.021141	0.000203	0.117702	0.000528	12.182071	0.079510	4.708213	0.026615
0.387000	-1.038605	0.000252	0.125029	0.000390	13.519686	0.088031	4.855681	0.043986
0.390000	-1.056153	0.000219	0.132261	0.000398	15.238050	0.129063	5.024455	0.026147
0.394000	-1.074560	0.000269	0.141345	0.000418	17.303667	0.072910	5.141123	0.027145
0.398000	-1.094015	0.000253	0.151909	0.000479	19.630478	0.135482	5.299590	0.044844
0.401000	-1.113790	0.000238	0.164446	0.000398	22.917180	0.098099	5.532109	0.034123
0.405000	-1.134163	0.000286	0.179512	0.000564	26.452325	0.178102	5.726856	0.040825
0.409000	-1.155743	0.000245	0.198665	0.000458	31.089193	0.195737	5.934967	0.056054
0.412000	-1.177979	0.000278	0.221002	0.000819	36.586443	0.135414	6.392882	0.059756
0.415000	-1.196272	0.000337	0.240797	0.000926	41.575799	0.282925	6.730228	0.029719
0.416000	-1.203120	0.000212	0.248933	0.000793	43.940284	0.209137	6.852015	0.036641
0.419000	-1.224195	0.000259	0.277516	0.000739	50.697830	0.347821	7.388400	0.041223
0.420000	-1.228903	0.000383	0.284050	0.001099	51.937855	0.267911	7.578506	0.057523
0.423000	-1.258100	0.000242	0.329057	0.000962	60.956756	0.187506	8.188584	0.065367
0.427000	-1.290296	0.000224	0.384795	0.000952	68.184375	0.274318	9.197689	0.063026
0.431000	-1.328481	0.000315	0.454883	0.000936	71.705458	0.429676	10.198524	0.069560
0.434000	-1.363681	0.000315	0.521313	0.000924	67.910573	0.456706	10.608899	0.034326
0.435000	-1.370222	0.000369	0.533566	0.001364	65.829464	0.341554	10.560846	0.078484
0.438000	-1.401871	0.000430	0.589617	0.000803	57.057765	0.463991	10.450360	0.046966
0.439000	-1.412577	0.000313	0.608545	0.001051	53.170417	0.418797	10.400317	0.058041
0.442000	-1.439886	0.000478	0.653275	0.000992	41.988468	0.426745	9.819377	0.048880
0.443000	-1.452427	0.000318	0.672143	0.000615	36.957160	0.525274	9.569639	0.047043
0.445000	-1.473790	0.000366	0.700633	0.000866	30.402303	0.488297	8.944533	0.065671
0.447000	-1.488774	0.000344	0.722104	0.000494	24.144964	0.407895	8.560487	0.060196
0.449000	-1.505043	0.000210	0.741802	0.000596	18.914558	0.396932	7.985592	0.056441
0.451000	-1.520718	0.000201	0.758771	0.000419	15.899613	0.372359	7.620013	0.055616
0.453000	-1.533553	0.000333	0.772717	0.000330	12.258582	0.259208	7.187888	0.072634
0.455000	-1.549527	0.000321	0.787633	0.000263	9.737610	0.151240	6.724963	0.054515
0.456000	-1.558088	0.000223	0.795550	0.000458	8.462375	0.303992	6.445982	0.042470
0.460000	-1.581291	0.000180	0.814819	0.000327	5.948175	0.160552	5.875261	0.037558
